KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
Not,711.01,2667402,1121153,2584,2663,3051,3353,3991,5289,6677,9275,400,479,514,622,1027,1461,2381,3387,600,963,1351,2313,3206,22,64,110,68,181,600,963,1351,2313,3206,1411,1119,1367,79,59
Not,711.02,2692926,1120960,2096,2159,2473,2719,3236,4288,5414,5714,324,388,417,504,833,1185,1145,1291,487,781,1096,1087,1217,17,52,89,58,74,487,781,1096,1087,1217,1145,908,1108,2484,2560
Not,712.02,2652194,1063764,649,668,765,842,1313,1653,2511,3792,155,185,199,241,417,554,873,1417,230,396,531,851,1344,10,21,23,22,73,230,396,531,851,1344,0,0,0,0,0
Not,712.03,2654060,1089819,1130,1165,1334,1466,2289,2880,4376,6608,286,343,368,445,772,1025,1616,2622,426,732,983,1576,2495,19,40,42,41,127,426,732,983,1576,2495,0,0,0,0,0
Not,714,2633068,1037201,1422,1465,1679,1845,2422,2846,3352,3851,391,466,501,607,886,1053,1280,1531,574,812,999,1233,1456,33,74,54,47,75,574,812,999,1233,1456,0,13,1,0,0
Not,716,2617626,1082335,918,946,1083,1191,1529,1783,2201,2701,244,293,314,380,541,630,808,1040,368,506,601,776,979,12,36,29,32,61,368,506,601,776,979,17,0,31,31,0
Not,718,2626668,1062389,1778,1832,2098,2306,3056,3613,4638,5960,478,572,614,743,1093,1302,1742,2367,717,1022,1243,1678,2242,25,70,59,63,125,717,1022,1243,1678,2242,27,1,49,48,84
Not,9819,2669797,1163095,7930,8172,9359,10288,9285,12630,8971,7815,896,1071,1151,1392,1692,1670,1633,1608,1374,1579,1582,1550,1373,18,113,88,83,235,1374,1579,1582,1550,1373,4162,3170,6281,2971,2673
Not,9551,2689667,769321,6635,5573,4587,4307,4565,4576,5305,5353,2201,2036,1875,1851,2205,2667,2617,3215,1579,1748,1782,2110,2193,272,456,885,506,1022,1579,1748,1782,2110,2193,88,105,101,73,0
Not,9552,2689188,710113,5334,4480,3687,3463,3669,3678,4265,4303,1769,1636,1508,1488,1772,2144,2103,2231,1269,1406,1433,1697,1827,219,367,711,407,404,1269,1406,1433,1697,1827,70,84,81,58,63
Not,1001,2660407,915404,2006,2027,2046,1982,2225,2415,3448,3581,566,592,583,646,821,873,1238,1389,614,766,837,1201,1315,32,55,36,37,74,614,766,837,1201,1315,0,0,0,0,0
Not,1002,2715231,915110,1155,1168,1179,1141,1281,1391,2293,4415,312,327,322,356,453,482,811,1616,337,420,460,774,1541,19,33,22,37,75,337,420,460,774,1541,0,0,0,0,0
Not,1003,2745312,914874,1135,1147,1158,1122,1259,1367,2178,2800,328,343,338,374,476,506,829,1071,351,436,480,773,1012,23,40,26,56,59,351,436,480,773,1012,0,0,0,0,0
Not,1004,2744696,851360,1836,1856,1873,1814,2037,2211,2848,4124,536,561,553,612,777,827,1089,1663,576,717,787,1017,1521,36,60,40,72,142,576,717,787,1017,1521,43,39,40,119,83
Not,1005,2681271,851516,2932,2963,2991,2896,3252,3530,4159,4334,864,905,892,987,1254,1334,1638,1786,905,1115,1242,1531,1618,82,139,92,107,168,905,1115,1242,1531,1618,0,0,0,0,0
